Trait,Metric,Method,Annotation,Score,Score SE
Platelet Count,tau,S-LD2,H3K27ac_Hnisz,2.7428217045380954e-08,5.86201377506562e-08
Platelet Count,tau,S-LD2,H3K27ac_Hnisz.flanking.500,-1.3667922768487845e-07,2.5915039931662124e-07
Platelet Count,tau,S-LD2,H3K27ac_PGC2,-5.5821499462417505e-08,9.129446607365186e-08
Platelet Count,tau,S-LD2,H3K27ac_PGC2.flanking.500,-1.7140148844477892e-07,1.749270654569787e-07
Platelet Count,tau,S-LD2,H3K4me1_peaks_Trynka,4.525282707822915e-08,2.0534080170734428e-07
Platelet Count,tau,S-LD2,H3K4me1_Trynka,-3.902112130793069e-08,1.2621672554302023e-07
Platelet Count,tau,S-LD2,H3K4me1_Trynka.flanking.500,-1.084045315738026e-07,1.1494349670897415e-07
Platelet Count,tau,S-LD2,H3K4me3_peaks_Trynka,-1.0235282284714466e-07,4.2417891596857853e-07
Platelet Count,tau,S-LD2,H3K4me3_Trynka,2.3432163065883642e-07,1.9867571351575565e-07
Platelet Count,tau,S-LD2,H3K4me3_Trynka.flanking.500,2.785158725615904e-07,1.6794192009744752e-07
Platelet Count,tau,S-LD2,H3K9ac_peaks_Trynka,-4.1091542094385166e-07,4.926388386673e-07
Platelet Count,tau,S-LD2,H3K9ac_Trynka,-5.470181769274036e-08,2.212963919335908e-07
Platelet Count,tau,S-LD2,H3K9ac_Trynka.flanking.500,9.94624584686767e-08,1.5892331433015378e-07
Platelet Count,tau,S-LD2,Intron_UCSC,-2.8453883807848916e-08,1.8270131679883637e-08
Platelet Count,tau,S-LD2,Intron_UCSC.flanking.500,1.9006258333322892e-07,1.3013484543666369e-06
Platelet Count,tau,S-LD2,PromoterFlanking_Hoffman,1.7079036351277126e-06,1.0920183793514007e-06
Platelet Count,tau,S-LD2,PromoterFlanking_Hoffman.flanking.500,-9.569761526046153e-07,3.1981616721643633e-07
Platelet Count,tau,S-LD2,Promoter_UCSC,3.52978427718396e-07,3.032480910800839e-07
Platelet Count,tau,S-LD2,Promoter_UCSC.flanking.500,1.4205555761610764e-07,6.717844802458138e-07
Platelet Count,tau,S-LD2,Repressed_Hoffman,3.7170893802417556e-08,1.2345754997212928e-07
Platelet Count,tau,S-LD2,Repressed_Hoffman.flanking.500,-1.2306220194957564e-07,8.598952150337524e-08
Platelet Count,tau,S-LD2,SuperEnhancer_Hnisz,9.125010829885053e-08,6.483473911210042e-08
Platelet Count,tau,S-LD2,SuperEnhancer_Hnisz.flanking.500,-2.4535891982009464e-08,1.3778077549496266e-06
Platelet Count,tau,S-LD2,TFBS_ENCODE,2.2847742280744497e-07,1.8780019719677952e-07
Platelet Count,tau,S-LD2,TFBS_ENCODE.flanking.500,-2.545627486024003e-07,1.357651352044541e-07
Platelet Count,tau,S-LD2,Transcr_Hoffman,9.248786921784375e-08,1.0706172485092819e-07
Platelet Count,tau,S-LD2,Transcr_Hoffman.flanking.500,2.0879861385058843e-08,8.34163692039445e-08
Platelet Count,tau,S-LD2,TSS_Hoffman,7.439627088069682e-07,5.221671349284666e-07
Platelet Count,tau,S-LD2,TSS_Hoffman.flanking.500,-2.67926984243122e-07,5.739174682150098e-07
Platelet Count,tau,S-LD2,UTR_3_UCSC,-4.986794301033706e-07,5.280200549936746e-07
Platelet Count,tau,S-LD2,UTR_3_UCSC.flanking.500,2.0720247870322244e-07,4.3068904403434907e-07
Platelet Count,tau,S-LD2,UTR_5_UCSC,-4.771244616234343e-07,7.911301503640937e-07
Platelet Count,tau,S-LD2,UTR_5_UCSC.flanking.500,-2.9142832249265727e-08,3.327418486081229e-07
Platelet Count,tau,S-LD2,WeakEnhancer_Hoffman,6.301857418573371e-08,4.390112154058609e-07
Platelet Count,tau,S-LD2,WeakEnhancer_Hoffman.flanking.500,-2.418349074821568e-07,2.0792382429479457e-07
Platelet Count,tau,S-LD2,GERP.NS,-4.6676607171133086e-08,3.159516764473005e-08
Platelet Count,tau,S-LD2,GERP.RSsup4,-2.112435884808695e-07,6.847814213998549e-07
Platelet Count,tau,S-LD2,MAFbin1,1.4250174335345693e-07,7.988146187127286e-08
Platelet Count,tau,S-LD2,MAFbin2,2.4808737659636096e-07,9.138660358692993e-08
Platelet Count,tau,S-LD2,MAFbin3,1.1522484154814134e-07,6.389198120359572e-08
Platelet Count,tau,S-LD2,MAFbin4,1.415164793876957e-07,6.290576350854465e-08
Platelet Count,tau,S-LD2,MAFbin5,1.1206067755092031e-07,6.395484550387638e-08
Platelet Count,tau,S-LD2,MAFbin6,4.709457103092121e-08,7.384078021994403e-08
Platelet Count,tau,S-LD2,MAFbin7,1.0559852697078396e-07,7.094218102372119e-08
Platelet Count,tau,S-LD2,MAFbin8,1.1806707544054288e-07,6.998121823655429e-08
Platelet Count,tau,S-LD2,MAFbin9,5.926295149239938e-08,6.36117552840956e-08
Platelet Count,tau,S-LD2,MAFbin10,7.649260809881963e-08,6.528019772827074e-08
Platelet Count,tau,S-LD2,MAF_Adj_Predicted_Allele_Age,-4.6427357914228555e-08,2.9935927609839275e-08
Platelet Count,tau,S-LD2,MAF_Adj_LLD_AFR,-2.0062597510632472e-08,2.1379026686796274e-08
Platelet Count,tau,S-LD2,Recomb_Rate_10kb,-1.2169172338712706e-08,5.6289367487847956e-09
Platelet Count,tau,S-LD2,Nucleotide_Diversity_10kb,-2.2625807142073582e-08,9.1925683930949e-09
Platelet Count,tau,S-LD2,Backgrd_Selection_Stat,4.318287060945802e-07,1.7085524527949495e-07
Platelet Count,tau,S-LD2,CpG_Content_50kb,2.6511296743431154e-06,4.0634135649296665e-06
Platelet Count,tau,S-LD2,MAF_Adj_ASMC,4.374651210097233e-08,2.1263468480722012e-08
Platelet Count,tau,S-LD2,GTEx_eQTL_MaxCPP,7.393154873536779e-07,5.648082544288875e-07
Platelet Count,tau,S-LD2,BLUEPRINT_H3K27acQTL_MaxCPP,-1.5065236505284286e-07,3.850136828421667e-07
Platelet Count,tau,S-LD2,BLUEPRINT_H3K4me1QTL_MaxCPP,8.154098252142032e-07,4.7421588410131723e-07
Platelet Count,tau,S-LD2,BLUEPRINT_DNA_methylation_MaxCPP,7.877010164544099e-07,2.7329104297311137e-07
Platelet Count,tau,S-LD2,synonymous,1.65245747936909e-07,2.287234005235812e-06
Platelet Count,tau,S-LD2,non_synonymous,3.31215675768743e-08,1.4554649962042306e-06
Platelet Count,tau,S-LD2,Conserved_Vertebrate_phastCons46way,-3.5841986550730523e-07,4.1977592971598077e-07
Platelet Count,tau,S-LD2,Conserved_Vertebrate_phastCons46way.flanking.500,-1.904284159989368e-07,1.7029548155488642e-07
Platelet Count,tau,S-LD2,Conserved_Mammal_phastCons46way,6.083576913416397e-07,7.260980221595175e-07
Platelet Count,tau,S-LD2,Conserved_Mammal_phastCons46way.flanking.500,3.4315620483349223e-07,2.3799857865811124e-07
Platelet Count,tau,S-LD2,Conserved_Primate_phastCons46way,7.475151576808439e-07,5.314661318792465e-07
Platelet Count,tau,S-LD2,Conserved_Primate_phastCons46way.flanking.500,3.629578315380315e-07,1.5435544183744434e-07
Platelet Count,tau,S-LD2,BivFlnk,-6.914516977662635e-07,4.862862962361762e-07
Platelet Count,tau,S-LD2,BivFlnk.flanking.500,4.4147298500579675e-07,4.594837669856966e-07
Platelet Count,tau,S-LD2,Human_Promoter_Villar,-5.714720353947872e-07,4.890895733545161e-07
Platelet Count,tau,S-LD2,Human_Promoter_Villar.flanking.500,-1.5059147589980598e-06,1.2655542300934006e-06
Platelet Count,tau,S-LD2,Human_Enhancer_Villar,4.0757442766143816e-08,4.149559115578966e-07
Platelet Count,tau,S-LD2,Human_Enhancer_Villar.flanking.500,1.6129070732521876e-07,6.283902094298079e-07
Platelet Count,tau,S-LD2,Ancient_Sequence_Age_Human_Promoter,3.6332942170783854e-06,1.1753614841866529e-06
Platelet Count,tau,S-LD2,Ancient_Sequence_Age_Human_Promoter.flanking.500,8.403596593454375e-07,1.203659098744059e-06
Platelet Count,tau,S-LD2,Ancient_Sequence_Age_Human_Enhancer,1.3444214039782445e-06,9.519099743939729e-07
Platelet Count,tau,S-LD2,Ancient_Sequence_Age_Human_Enhancer.flanking.500,6.855865164574517e-08,7.032230950065347e-07
Platelet Count,tau,S-LD2,Human_Enhancer_Villar_Species_Enhancer_Count,1.6543764476943185e-07,6.834279954739763e-08
Platelet Count,tau,S-LD2,Human_Promoter_Villar_ExAC,2.5099816540297154e-06,1.178415910619049e-06
Platelet Count,tau,S-LD2,Human_Promoter_Villar_ExAC.flanking.500,2.445586819625076e-06,3.33150415377008e-06
Platelet Count,tau_star,S-LDSC,base,-0.0,0.0
Platelet Count,tau_star,S-LDSC,Coding_UCSC,0.46967811300886464,0.3731710303731174
Platelet Count,tau_star,S-LDSC,Coding_UCSC.flanking.500,-0.10475626974894266,0.18742581964150923
Platelet Count,tau_star,S-LDSC,Conserved_LindbladToh,0.2017319521327036,0.41793160457139333
Platelet Count,tau_star,S-LDSC,Conserved_LindbladToh.flanking.500,-0.5314881075012311,0.45958012404270726
Platelet Count,tau_star,S-LDSC,CTCF_Hoffman,-0.4868431029495365,0.24466519893120525
Platelet Count,tau_star,S-LDSC,CTCF_Hoffman.flanking.500,-0.06174591830589301,0.200913926639852
Platelet Count,tau_star,S-LDSC,DGF_ENCODE,0.8365048600352438,0.3498680327968542
Platelet Count,tau_star,S-LDSC,DGF_ENCODE.flanking.500,0.27434609964441403,0.19897366795596957
Platelet Count,tau_star,S-LDSC,DHS_peaks_Trynka,-0.08854592046972638,0.33321030574244814
Platelet Count,tau_star,S-LDSC,DHS_Trynka,-0.5765756688222312,0.3433263052368211
Platelet Count,tau_star,S-LDSC,DHS_Trynka.flanking.500,0.24525539077053035,0.23825721997321667
Platelet Count,tau_star,S-LDSC,Enhancer_Andersson,0.2801447012795684,0.3616653236736708
Platelet Count,tau_star,S-LDSC,Enhancer_Andersson.flanking.500,-0.1273765073644893,0.15307836734835506
Platelet Count,tau_star,S-LDSC,Enhancer_Hoffman,0.26572954203694993,0.24477502419049937
Platelet Count,tau_star,S-LDSC,Enhancer_Hoffman.flanking.500,0.5453782536482635,0.2090182434881822
Platelet Count,tau_star,S-LDSC,FetalDHS_Trynka,0.5437965952633815,0.28261321363526787
Platelet Count,tau_star,S-LDSC,FetalDHS_Trynka.flanking.500,-0.26002707875316294,0.21717253981189857
Platelet Count,tau_star,S-LDSC,H3K27ac_Hnisz,0.055148229851429184,0.11452709358439439
Platelet Count,tau_star,S-LDSC,H3K27ac_Hnisz.flanking.500,-0.12656119301470856,0.1648231969213136
Platelet Count,tau_star,S-LDSC,H3K27ac_PGC2,-0.10499283831619849,0.15894722348688767
Platelet Count,tau_star,S-LDSC,H3K27ac_PGC2.flanking.500,-0.13177765200306582,0.18085214715585365
Platelet Count,tau_star,S-LDSC,H3K4me1_peaks_Trynka,-0.06716999620523814,0.2956155553618913
Platelet Count,tau_star,S-LDSC,H3K4me1_Trynka,-0.0332979323046155,0.2654404615181413
Platelet Count,tau_star,S-LDSC,H3K4me1_Trynka.flanking.500,-0.1950939967950633,0.1746875183114103
Platelet Count,tau_star,S-LDSC,H3K4me3_peaks_Trynka,-0.17234972097276702,0.30842877823219594
Platelet Count,tau_star,S-LDSC,H3K4me3_Trynka,0.34273921190086026,0.27346123898607505
Platelet Count,tau_star,S-LDSC,H3K4me3_Trynka.flanking.500,0.3845198134742484,0.22973217839112087
Platelet Count,tau_star,S-LDSC,H3K9ac_peaks_Trynka,-0.14943887445000786,0.3821765449027815
Platelet Count,tau_star,S-LDSC,H3K9ac_Trynka,-0.09487138930702294,0.2807198036313937
Platelet Count,tau_star,S-LDSC,H3K9ac_Trynka.flanking.500,0.018464389746150858,0.1844113922053303
Platelet Count,tau_star,S-LDSC,Intron_UCSC,-0.04736103965752763,0.037285366281736364
Platelet Count,tau_star,S-LDSC,Intron_UCSC.flanking.500,-0.16659271395764652,0.4414342465736672
Platelet Count,tau_star,S-LDSC,PromoterFlanking_Hoffman,0.5532212952352237,0.3318880361849173
Platelet Count,tau_star,S-LDSC,PromoterFlanking_Hoffman.flanking.500,-0.5648460018506057,0.2006830423956345
Platelet Count,tau_star,S-LDSC,Promoter_UCSC,0.19913472172897675,0.25317597527593194
Platelet Count,tau_star,S-LDSC,Promoter_UCSC.flanking.500,0.04564879752594448,0.27289577338447396
Platelet Count,tau_star,S-LDSC,Repressed_Hoffman,0.091180105518091,0.248300523986581
Platelet Count,tau_star,S-LDSC,Repressed_Hoffman.flanking.500,-0.2071503211610216,0.15395387031554864
Platelet Count,tau_star,S-LDSC,SuperEnhancer_Hnisz,0.15563596673937155,0.10464679369521294
Platelet Count,tau_star,S-LDSC,SuperEnhancer_Hnisz.flanking.500,0.06139483599023357,0.29234046774564976
Platelet Count,tau_star,S-LDSC,TFBS_ENCODE,0.3845639239882426,0.26197463157580747
Platelet Count,tau_star,S-LDSC,TFBS_ENCODE.flanking.500,-0.43939715751997405,0.21482899832674285
Platelet Count,tau_star,S-LDSC,Transcr_Hoffman,0.20510474286905184,0.20050680641698784
Platelet Count,tau_star,S-LDSC,Transcr_Hoffman.flanking.500,0.05432151957042783,0.15735111714108302
Platelet Count,tau_star,S-LDSC,TSS_Hoffman,0.4346857457432897,0.28512419363108477
Platelet Count,tau_star,S-LDSC,TSS_Hoffman.flanking.500,-0.17522288916862558,0.29216698593643464
Platelet Count,tau_star,S-LDSC,UTR_3_UCSC,-0.23785975837672008,0.21519885345954332
Platelet Count,tau_star,S-LDSC,UTR_3_UCSC.flanking.500,0.10027841073591545,0.2098628558445938
Platelet Count,tau_star,S-LDSC,UTR_5_UCSC,-0.15480289529668276,0.23695815642167709
Platelet Count,tau_star,S-LDSC,UTR_5_UCSC.flanking.500,-0.0684913136071013,0.1984577495768542
Platelet Count,tau_star,S-LDSC,WeakEnhancer_Hoffman,-0.06306832945269887,0.21673543634711856
Platelet Count,tau_star,S-LDSC,WeakEnhancer_Hoffman.flanking.500,-0.3479892010868872,0.2096455292947119
Platelet Count,tau_star,S-LDSC,GERP.NS,-0.29644114933204274,0.18655168924098958
Platelet Count,tau_star,S-LDSC,GERP.RSsup4,0.022361612398141738,0.22319144464458116
Platelet Count,tau_star,S-LDSC,MAFbin1,0.07210789373637184,0.046963025761528616
Platelet Count,tau_star,S-LDSC,MAFbin2,0.16805929361193725,0.0650965991494607
Platelet Count,tau_star,S-LDSC,MAFbin3,0.14516199706903427,0.05861295028048259
Platelet Count,tau_star,S-LDSC,MAFbin4,0.14352691344001814,0.06574801603195542
Platelet Count,tau_star,S-LDSC,MAFbin5,0.2163559407626771,0.07916768553083493
Platelet Count,tau_star,S-LDSC,MAFbin6,0.1131777117743349,0.0731410521599224
Platelet Count,tau_star,S-LDSC,MAFbin7,0.2897179715592765,0.09310415535258125
Platelet Count,tau_star,S-LDSC,MAFbin8,0.2506684737252334,0.08662577474961487
Platelet Count,tau_star,S-LDSC,MAFbin9,0.22704019731207156,0.08305332777933219
Platelet Count,tau_star,S-LDSC,MAFbin10,0.23164312540758505,0.085283003281218
Platelet Count,tau_star,S-LDSC,MAF_Adj_Predicted_Allele_Age,-0.14372568102848565,0.11361589483521041
Platelet Count,tau_star,S-LDSC,MAF_Adj_LLD_AFR,-0.04279941253147982,0.09857814414683629
Platelet Count,tau_star,S-LDSC,Recomb_Rate_10kb,-0.12161068916291572,0.053802028966829646
Platelet Count,tau_star,S-LDSC,Nucleotide_Diversity_10kb,-0.17920424065991056,0.09052010872129193
Platelet Count,tau_star,S-LDSC,Backgrd_Selection_Stat,0.2597591789342735,0.12351918128278574
Platelet Count,tau_star,S-LDSC,CpG_Content_50kb,0.03705417319621397,0.09049513759718995
Platelet Count,tau_star,S-LDSC,MAF_Adj_ASMC,0.01984631540879199,0.08603798239033292
Platelet Count,tau_star,S-LDSC,GTEx_eQTL_MaxCPP,0.5735619694428484,0.2137364146762383
Platelet Count,tau_star,S-LDSC,BLUEPRINT_H3K27acQTL_MaxCPP,0.04643817256578225,0.18746330236941264
Platelet Count,tau_star,S-LDSC,BLUEPRINT_H3K4me1QTL_MaxCPP,0.46228244267470836,0.2086554201400119
Platelet Count,tau_star,S-LDSC,BLUEPRINT_DNA_methylation_MaxCPP,0.7455332841053804,0.17649879697199494
Platelet Count,tau_star,S-LDSC,synonymous,-0.12854340654861185,0.4426936154296421
Platelet Count,tau_star,S-LDSC,non_synonymous,0.15040733582334023,0.2825337598072169
Platelet Count,tau_star,S-LDSC,Conserved_Vertebrate_phastCons46way,-0.26934701846906905,0.2629159245192723
Platelet Count,tau_star,S-LDSC,Conserved_Vertebrate_phastCons46way.flanking.500,-0.4272791921424157,0.32475520250018153
Platelet Count,tau_star,S-LDSC,Conserved_Mammal_phastCons46way,0.3475337905563004,0.4078338773407252
Platelet Count,tau_star,S-LDSC,Conserved_Mammal_phastCons46way.flanking.500,0.7477138875768073,0.4158311337602139
Platelet Count,tau_star,S-LDSC,Conserved_Primate_phastCons46way,0.306420741934047,0.2496212403415595
Platelet Count,tau_star,S-LDSC,Conserved_Primate_phastCons46way.flanking.500,0.5034693652688047,0.21951062001680033
Platelet Count,tau_star,S-LDSC,BivFlnk,-0.3854308349032147,0.19848165292817754
Platelet Count,tau_star,S-LDSC,BivFlnk.flanking.500,0.37551996240245283,0.25303654713931867
Platelet Count,tau_star,S-LDSC,Human_Promoter_Villar,-0.2641719096677435,0.2641345605888241
Platelet Count,tau_star,S-LDSC,Human_Promoter_Villar.flanking.500,-0.1915269203878189,0.28171369069324825
Platelet Count,tau_star,S-LDSC,Human_Enhancer_Villar,0.11946961124029927,0.2954248733553953
Platelet Count,tau_star,S-LDSC,Human_Enhancer_Villar.flanking.500,-0.03820996385772875,0.2450913725038019
Platelet Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Promoter,0.7448846913004922,0.2779105146579253
Platelet Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Promoter.flanking.500,0.26397469835676773,0.35323785204486746
Platelet Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Enhancer,0.37517627093548145,0.29619806968212486
Platelet Count,tau_star,S-LDSC,Ancient_Sequence_Age_Human_Enhancer.flanking.500,0.045764903030522795,0.27573034909285177
Platelet Count,tau_star,S-LDSC,Human_Enhancer_Villar_Species_Enhancer_Count,0.41512084976568053,0.17457819577984277
Platelet Count,tau_star,S-LDSC,Human_Promoter_Villar_ExAC,0.4673797207642552,0.23738795268882626
Platelet Count,tau_star,S-LDSC,Human_Promoter_Villar_ExAC.flanking.500,0.3775193124076898,0.32048038457780975
Platelet Count,tau_star,S-LD2MAF,base,-0.0,0.0
Platelet Count,tau_star,S-LD2MAF,Coding_UCSC,0.46176595603672205,0.37620063034369156
Platelet Count,tau_star,S-LD2MAF,Coding_UCSC.flanking.500,-0.10742571127284055,0.19162927645593814
Platelet Count,tau_star,S-LD2MAF,Conserved_LindbladToh,0.20096443861724544,0.4254447810575829
Platelet Count,tau_star,S-LD2MAF,Conserved_LindbladToh.flanking.500,-0.5742545788473113,0.47870434163934117
Platelet Count,tau_star,S-LD2MAF,CTCF_Hoffman,-0.4800299819117878,0.24088424462842406
Platelet Count,tau_star,S-LD2MAF,CTCF_Hoffman.flanking.500,-0.04318557500164584,0.20485780935684436
Platelet Count,tau_star,S-LD2MAF,DGF_ENCODE,0.8251441976947785,0.3709955437072313
Platelet Count,tau_star,S-LD2MAF,DGF_ENCODE.flanking.500,0.2867189757560726,0.2012221572974938
Platelet Count,tau_star,S-LD2MAF,DHS_peaks_Trynka,-0.1220896391049168,0.3447023206742044
Platelet Count,tau_star,S-LD2MAF,DHS_Trynka,-0.621864946874195,0.353000489691535
Platelet Count,tau_star,S-LD2MAF,DHS_Trynka.flanking.500,0.24300962164363785,0.2474463664704752
Platelet Count,tau_star,S-LD2MAF,Enhancer_Andersson,0.334772133418278,0.36820493662327397
Platelet Count,tau_star,S-LD2MAF,Enhancer_Andersson.flanking.500,-0.1575390733648639,0.14777035489574988
Platelet Count,tau_star,S-LD2MAF,Enhancer_Hoffman,0.24062093973688262,0.24930967615206348
Platelet Count,tau_star,S-LD2MAF,Enhancer_Hoffman.flanking.500,0.5481155638954407,0.21133424691379343
Platelet Count,tau_star,S-LD2MAF,FetalDHS_Trynka,0.5777737568172197,0.2859497501962724
Platelet Count,tau_star,S-LD2MAF,FetalDHS_Trynka.flanking.500,-0.26775294503966135,0.22043845556896288
Platelet Count,tau_star,S-LD2MAF,H3K27ac_Hnisz,0.05208575596675858,0.11611954013781195
Platelet Count,tau_star,S-LD2MAF,H3K27ac_Hnisz.flanking.500,-0.12833215642302775,0.1655661814316394
Platelet Count,tau_star,S-LD2MAF,H3K27ac_PGC2,-0.07906620713650998,0.1627224687872015
Platelet Count,tau_star,S-LD2MAF,H3K27ac_PGC2.flanking.500,-0.1400680194469874,0.1770358939570085
Platelet Count,tau_star,S-LD2MAF,H3K4me1_peaks_Trynka,-0.06193263939095747,0.2883353662147694
Platelet Count,tau_star,S-LD2MAF,H3K4me1_Trynka,-0.012025593497066587,0.27114392526809616
Platelet Count,tau_star,S-LD2MAF,H3K4me1_Trynka.flanking.500,-0.2030820774788766,0.17372336263179092
Platelet Count,tau_star,S-LD2MAF,H3K4me3_peaks_Trynka,-0.21337784113039082,0.3051365934934475
Platelet Count,tau_star,S-LD2MAF,H3K4me3_Trynka,0.3665798814031051,0.26284829179263564
Platelet Count,tau_star,S-LD2MAF,H3K4me3_Trynka.flanking.500,0.3823969184188894,0.2303381833046664
Platelet Count,tau_star,S-LD2MAF,H3K9ac_peaks_Trynka,-0.15240308489536888,0.37656189901660575
Platelet Count,tau_star,S-LD2MAF,H3K9ac_Trynka,-0.1029144360641734,0.27524672468321687
Platelet Count,tau_star,S-LD2MAF,H3K9ac_Trynka.flanking.500,0.014613610887440436,0.19088888976362117
Platelet Count,tau_star,S-LD2MAF,Intron_UCSC,-0.04879668952765961,0.03690028727414561
Platelet Count,tau_star,S-LD2MAF,Intron_UCSC.flanking.500,-0.14265830456639558,0.44506493885286963
Platelet Count,tau_star,S-LD2MAF,PromoterFlanking_Hoffman,0.5276843724220625,0.340384394361255
Platelet Count,tau_star,S-LD2MAF,PromoterFlanking_Hoffman.flanking.500,-0.5920435383275583,0.19207892542504082
Platelet Count,tau_star,S-LD2MAF,Promoter_UCSC,0.19642498789885413,0.2602462873722542
Platelet Count,tau_star,S-LD2MAF,Promoter_UCSC.flanking.500,0.04272397472271728,0.2655769066520492
Platelet Count,tau_star,S-LD2MAF,Repressed_Hoffman,0.0908527228438918,0.25626058047132694
Platelet Count,tau_star,S-LD2MAF,Repressed_Hoffman.flanking.500,-0.19943936326920267,0.16060325273983028
Platelet Count,tau_star,S-LD2MAF,SuperEnhancer_Hnisz,0.15644468468709175,0.10303144742721776
Platelet Count,tau_star,S-LD2MAF,SuperEnhancer_Hnisz.flanking.500,0.027856522976859498,0.2961878734885404
Platelet Count,tau_star,S-LD2MAF,TFBS_ENCODE,0.40979522113851324,0.26790938219154453
Platelet Count,tau_star,S-LD2MAF,TFBS_ENCODE.flanking.500,-0.439818519717998,0.20854845124528473
Platelet Count,tau_star,S-LD2MAF,Transcr_Hoffman,0.20062280809159339,0.20497327895470854
Platelet Count,tau_star,S-LD2MAF,Transcr_Hoffman.flanking.500,0.0498919957173009,0.16245771440769122
Platelet Count,tau_star,S-LD2MAF,TSS_Hoffman,0.4181025661607645,0.28675379474221013
Platelet Count,tau_star,S-LD2MAF,TSS_Hoffman.flanking.500,-0.1325560674035735,0.2983399987051196
Platelet Count,tau_star,S-LD2MAF,UTR_3_UCSC,-0.2200199109020458,0.2182145346304862
Platelet Count,tau_star,S-LD2MAF,UTR_3_UCSC.flanking.500,0.08618773137341842,0.20777747030000204
Platelet Count,tau_star,S-LD2MAF,UTR_5_UCSC,-0.16156011622001265,0.23692570721981754
Platelet Count,tau_star,S-LD2MAF,UTR_5_UCSC.flanking.500,-0.05048299400776538,0.18203718884405867
Platelet Count,tau_star,S-LD2MAF,WeakEnhancer_Hoffman,-0.05927746157206575,0.22252997249878245
Platelet Count,tau_star,S-LD2MAF,WeakEnhancer_Hoffman.flanking.500,-0.3418289199483748,0.21038885937154575
Platelet Count,tau_star,S-LD2MAF,GERP.NS,-0.2915855737352092,0.19274596952172934
Platelet Count,tau_star,S-LD2MAF,GERP.RSsup4,0.04618952023892881,0.22477296992299026
Platelet Count,tau_star,S-LD2MAF,MAFbin1,0.07225325340897303,0.047625454318340546
Platelet Count,tau_star,S-LD2MAF,MAFbin2,0.18637691379913285,0.06759944598890677
Platelet Count,tau_star,S-LD2MAF,MAFbin3,0.1555100799512657,0.05942933134206216
Platelet Count,tau_star,S-LD2MAF,MAFbin4,0.1554130021287185,0.07037843566911132
Platelet Count,tau_star,S-LD2MAF,MAFbin5,0.22009267600280982,0.08093430451921506
Platelet Count,tau_star,S-LD2MAF,MAFbin6,0.11710189254069962,0.07566068233639359
Platelet Count,tau_star,S-LD2MAF,MAFbin7,0.2921926912033643,0.0883802662800491
Platelet Count,tau_star,S-LD2MAF,MAFbin8,0.25942882326691746,0.08887078530938222
Platelet Count,tau_star,S-LD2MAF,MAFbin9,0.25622410023280684,0.08329969646415025
Platelet Count,tau_star,S-LD2MAF,MAFbin10,0.23655141559467197,0.08789832226360418
Platelet Count,tau_star,S-LD2MAF,MAF_Adj_Predicted_Allele_Age,-0.15044819754581812,0.11682671108651344
Platelet Count,tau_star,S-LD2MAF,MAF_Adj_LLD_AFR,-0.022679324222099072,0.09536154399481862
Platelet Count,tau_star,S-LD2MAF,Recomb_Rate_10kb,-0.12369211303797394,0.05282967365331898
Platelet Count,tau_star,S-LD2MAF,Nucleotide_Diversity_10kb,-0.17155718194890743,0.0906818377126625
Platelet Count,tau_star,S-LD2MAF,Backgrd_Selection_Stat,0.2715210774018055,0.13031154325770916
Platelet Count,tau_star,S-LD2MAF,CpG_Content_50kb,0.032791923129928076,0.09001558258112378
Platelet Count,tau_star,S-LD2MAF,MAF_Adj_ASMC,0.013955757156147802,0.08871449928095705
Platelet Count,tau_star,S-LD2MAF,GTEx_eQTL_MaxCPP,0.5728947134092218,0.20774894743919695
Platelet Count,tau_star,S-LD2MAF,BLUEPRINT_H3K27acQTL_MaxCPP,0.035432930964891966,0.18845235607920144
Platelet Count,tau_star,S-LD2MAF,BLUEPRINT_H3K4me1QTL_MaxCPP,0.4539303346793911,0.212440122199094
Platelet Count,tau_star,S-LD2MAF,BLUEPRINT_DNA_methylation_MaxCPP,0.7377367693848583,0.18656111178357768
Platelet Count,tau_star,S-LD2MAF,synonymous,-0.1106244971157454,0.44728494460770435
Platelet Count,tau_star,S-LD2MAF,non_synonymous,0.14098877372079288,0.2874893201035319
Platelet Count,tau_star,S-LD2MAF,Conserved_Vertebrate_phastCons46way,-0.2604441470877049,0.259053219746202
Platelet Count,tau_star,S-LD2MAF,Conserved_Vertebrate_phastCons46way.flanking.500,-0.5087090764779646,0.3314706460104098
Platelet Count,tau_star,S-LD2MAF,Conserved_Mammal_phastCons46way,0.3258250689686377,0.41641864038446524
Platelet Count,tau_star,S-LD2MAF,Conserved_Mammal_phastCons46way.flanking.500,0.8387105788124716,0.42886487244383364
Platelet Count,tau_star,S-LD2MAF,Conserved_Primate_phastCons46way,0.3087752562963712,0.24967312579143908
Platelet Count,tau_star,S-LD2MAF,Conserved_Primate_phastCons46way.flanking.500,0.5203645586819354,0.22957206843416544
Platelet Count,tau_star,S-LD2MAF,BivFlnk,-0.3744300727479336,0.20517360674298535
Platelet Count,tau_star,S-LD2MAF,BivFlnk.flanking.500,0.3809151115086201,0.2524811053062335
Platelet Count,tau_star,S-LD2MAF,Human_Promoter_Villar,-0.2544091465810676,0.265726078157931
